Episode,Success,Steps,Reward,PathDistance
8,0,0,0,0
8,0,0,0,0
8,0,0,0,0
11,0,198,-3.539576,40.07418
12,0,0,0,0
12,0,0,0,0
12,0,0,0,0
12,0,0,0,0
9,0,180,-0.03599995,37.17526
10,0,309,0.4381996,52.58575
11,0,0,0,0
11,0,0,0,0
11,0,0,0,0
13,0,205,-1.041007,39.74982
13,0,184,-5.036762,35.85353
14,0,0,0,0
14,0,0,0,0
14,0,0,0,0
14,0,0,0,0
14,0,0,0,0
9,0,379,-1.575813,54.74872
10,0,0,0,0
10,0,0,0,0
9,0,211,-0.04219994,42.57007
13,0,162,-4.032367,34.90811
14,0,0,0,0
14,0,0,0,0
14,0,0,0,0
14,0,0,0,0
9,0,163,-1.032605,36.1791
10,0,308,0.4383994,50.74159
11,0,0,0,0
11,0,345,0.4309993,54.88833
14,0,119,-0.02379997,32.73662
15,0,0,0,0
10,0,189,0.4621997,40.96615
11,0,590,1.381997,81.29533
12,0,0,0,0
11,0,319,-0.5637985,53.6752
12,0,0,0,0
10,0,125,-0.02499997,31.82745
8,0,269,-5.053745,46.42052
9,0,0,0,0
9,0,0,0,0
9,0,0,0,0
14,0,317,-1.063411,52.82103
15,0,0,0,0
15,0,0,0,0
10,0,161,-0.03219996,33.87576
12,0,122,-0.02439997,32.72289
14,0,164,-4.032766,36.43248
15,0,0,0,0
15,0,0,0,0
15,0,0,0,0
15,0,0,0,0
12,0,309,-3.561775,51.89306
13,0,0,0,0
13,0,0,0,0
13,0,0,0,0
13,0,0,0,0
11,0,270,-2.554009,47.14084
12,0,0,0,0
14,0,236,-5.047152,42.96118
15,0,0,0,0
15,0,0,0,0
15,0,0,0,0
15,0,0,0,0
15,0,0,0,0
15,0,155,-1.031005,36.61288
16,0,0,0,0
10,0,411,1.417802,62.97663
10,0,274,-1.554809,46.38467
11,0,0,0,0
11,0,0,0,0
11,0,159,-0.03179996,33.66073
15,0,142,-4.028371,33.1706
16,0,0,0,0
16,0,0,0,0
16,0,0,0,0
16,0,0,0,0
13,0,151,-4.030169,32.69235
14,0,0,0,0
14,0,0,0,0
14,0,0,0,0
14,0,0,0,0
12,0,231,-1.046208,41.02435
11,0,238,0.4523995,46.25991
13,0,233,0.9534011,43.62313
11,0,441,-0.08820233,69.91086
12,0,204,-0.04079995,38.95687
14,0,148,-4.02957,35.02782
15,0,0,0,0
15,0,0,0,0
15,0,0,0,0
15,0,0,0,0
15,0,372,-1.574412,59.87129
16,0,0,0,0
16,0,0,0,0
12,0,321,-0.5642052,48.65874
13,0,0,0,0
15,0,347,-4.569329,53.08764
16,0,0,0,0
16,0,0,0,0
16,0,0,0,0
9,0,413,-2.082614,69.58359
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
16,0,348,-0.06960236,55.76692
17,0,0,0,0
12,0,150,-0.02999996,36.08177
11,0,385,0.9230027,61.99372
12,0,536,0.3927992,76.29268
13,0,0,0,0
16,0,115,-3.023004,31.2681
17,0,0,0,0
17,0,0,0,0
17,0,0,0,0
17,0,0,0,0
17,0,0,0,0
15,0,188,-4.037561,37.15199
16,0,0,0,0
16,0,0,0,0
16,0,0,0,0
16,0,0,0,0
16,1,430,0.8710134,50.15539
10,0,191,-5.038161,41.61695
11,0,0,0,0
11,0,0,0,0
11,0,0,0,0
13,0,128,-0.02559997,31.73755
11,0,508,-1.101617,72.02751
12,0,0,0,0
12,0,0,0,0
11,0,682,0.863609,85.30083
12,0,434,0.9132039,63.51541
16,0,155,-4.030968,34.48388
17,0,0,0,0
17,0,0,0,0
17,0,0,0,0
17,0,0,0,0
13,0,481,0.7852054,69.33749
13,0,399,0.4201992,58.57043
14,0,476,0.404799,63.7905
14,0,132,-0.02639997,30.1445
17,0,155,-0.03099996,35.0841
18,0,0,0,0
18,0,0,0,0
18,0,0,0,0
18,0,0,0,0
17,0,236,-4.547152,46.23475
18,0,0,0,0
18,0,0,0,0
18,0,0,0,0
17,0,354,-0.2780036,55.91402
18,0,0,0,0
16,1,412,2.876386,51.55136
11,0,193,-3.038606,38.74553
12,0,0,0,0
12,0,0,0,0
12,0,0,0,0
12,0,0,0,0
12,0,0,0,0
15,0,123,-0.02459997,32.74482
13,0,204,0.4591997,41.45376
14,0,189,0.4621998,39.66368
15,0,187,-0.03739995,38.07098
18,0,130,-1.026004,35.48783
19,0,0,0,0
13,0,410,-0.081999,62.85408
14,0,0,0,0
17,0,224,-3.544772,41.90458
18,0,0,0,0
18,0,0,0,0
18,0,0,0,0
18,0,0,0,0
13,0,544,-0.2256017,76.42236
14,0,0,0,0
16,0,104,-0.02079998,31.50129
12,0,178,-5.035563,34.97179
13,0,0,0,0
13,0,0,0,0
13,0,0,0,0
13,0,0,0,0
13,0,0,0,0
12,0,364,-1.072812,54.74818
13,0,0,0,0
13,0,0,0,0
12,0,318,0.4363994,51.87476
13,0,0,0,0
17,0,247,0.2463997,44.82465
18,0,0,0,0
18,0,0,0,0
18,0,292,-3.05841,48.84323
19,0,0,0,0
19,0,0,0,0
19,0,0,0,0
19,0,0,0,0
19,0,0,0,0
19,0,136,-1.027205,31.54032
15,0,179,-0.03579995,36.03231
14,0,404,0.2705982,57.23837
15,0,0,0,0
12,0,623,0.8754077,78.57919
13,0,152,-5.030369,35.26208
14,0,0,0,0
14,0,0,0,0
14,0,0,0,0
13,0,150,-1.030005,36.69064
14,0,0,0,0
18,0,157,-2.031405,35.96971
19,0,0,0,0
19,0,0,0,0
14,0,314,0.937202,53.84193
19,0,155,-5.030968,34.18792
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
17,0,245,0.4509997,43.9079
14,0,300,-0.06000217,50.24076
15,0,0,0,0
18,0,481,-3.417791,67.07408
19,0,0,0,0
19,0,0,0,0
19,0,0,0,0
19,0,0,0,0
20,0,201,-0.04019995,39.90929
21,0,0,0,0
15,0,163,-1.032605,35.61034
16,0,0,0,0
16,0,371,0.9258026,60.16666
14,0,385,-0.5770023,53.38411
15,0,0,0,0
15,0,0,0,0
15,0,0,0,0
18,1,396,0.8812188,46.23111
14,0,186,-1.037206,36.02899
14,0,210,-3.042007,43.32978
15,0,0,0,0
15,0,0,0,0
15,0,0,0,0
15,0,0,0,0
15,0,0,0,0
13,0,360,-1.072012,56.30193
14,0,0,0,0
14,0,0,0,0
15,0,130,-1.026004,32.06536
16,0,280,0.4439994,49.46614
21,0,137,-1.027405,31.3014
19,0,306,-1.818208,52.25334
20,0,0,0,0
20,0,0,0,0
17,0,147,-0.02939996,37.04337
20,0,329,-3.065811,47.70881
21,0,0,0,0
21,0,0,0,0
21,0,0,0,0
16,0,188,-0.03759995,38.37731
19,0,326,-3.065179,55.92894
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
15,0,360,0.9280044,55.43674
19,0,261,0.9478016,49.25552
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
13,0,559,1.2786,76.74963
22,0,281,0.3227991,47.3278
23,0,0,0,0
14,1,338,2.898589,45.76824
17,0,178,0.4643998,40.82497
18,0,0,0,0
18,0,578,1.884398,89.07999
19,0,0,0,0
16,0,551,0.3897976,75.08896
15,0,516,-2.212219,70.16305
16,0,0,0,0
21,0,306,-2.56121,52.37506
22,0,0,0,0
22,0,0,0,0
22,0,0,0,0
18,0,337,1.932595,56.8823
